Id,Category
0,4
1,2
2,5
3,5
4,5
5,3
6,0
7,3
8,9
9,5
10,10
11,3
12,9
13,0
14,0
15,6
16,0
17,3
18,6
19,6
20,0
21,4
22,9
23,6
24,2
25,0
26,4
27,2
28,2
29,10
30,1
31,8
32,5
33,10
34,1
35,0
36,9
37,5
38,5
39,2
40,0
41,5
42,2
43,3
44,9
45,8
46,8
47,5
48,5
49,4
50,9
51,5
52,3
53,2
54,6
55,5
56,0
57,3
58,3
59,8
60,5
61,0
62,9
63,5
64,6
65,9
66,8
67,2
68,8
69,4
70,5
71,4
72,1
73,9
74,2
75,10
76,10
77,2
78,9
79,10
80,2
81,5
82,4
83,5
84,0
85,8
86,3
87,8
88,4
89,0
90,2
91,9
92,1
93,0
94,8
95,5
96,0
97,8
98,2
99,7
100,2
101,0
102,8
103,9
104,7
105,9
106,1
107,10
108,2
109,8
110,8
111,4
112,4
113,6
114,8
115,9
116,0
117,8
118,1
119,0
120,5
121,4
122,0
123,1
124,10
125,9
126,7
127,5
128,10
129,0
130,6
131,4
132,0
133,3
134,0
135,6
136,10
137,3
138,8
139,5
140,0
141,6
142,9
143,7
144,8
145,9
146,5
147,9
148,0
149,0
150,9
151,10
152,0
153,6
154,1
155,5
156,9
157,3
158,10
159,9
160,5
161,1
162,0
163,2
164,8
165,0
166,8
167,3
168,0
169,5
170,5
171,1
172,5
173,6
174,2
175,5
176,0
177,4
178,6
179,5
180,5
181,5
182,9
183,10
184,2
185,4
186,8
187,5
188,8
189,0
190,5
191,9
192,0
193,4
194,2
195,2
196,0
197,6
198,8
199,5
200,3
201,3
202,2
203,2
204,10
205,2
206,7
207,2
208,2
209,0
210,2
211,2
212,5
213,5
214,4
215,5
216,5
217,5
218,0
219,3
220,3
221,6
222,4
223,1
224,1
225,9
226,2
227,2
228,5
229,6
230,3
231,4
232,4
233,4
234,1
235,2
236,10
237,2
238,0
239,6
240,2
241,2
242,1
243,7
244,3
245,2
246,3
247,9
248,2
249,5
250,6
251,8
252,0
253,0
254,3
255,0
256,10
257,2
258,4
259,5
260,6
261,5
262,0
263,2
264,5
265,8
266,2
267,10
268,6
269,5
270,10
271,4
272,9
273,6
274,4
275,10
276,3
277,1
278,4
279,2
280,8
281,9
282,6
283,10
284,4
285,9
286,0
287,4
288,4
289,9
290,10
291,10
292,2
293,1
294,0
295,7
296,0
297,1
298,5
299,8
300,2
301,10
302,0
303,5
304,8
305,7
306,2
307,4
308,9
309,0
310,2
311,5
312,9
313,2
314,1
315,2
316,7
317,10
318,4
319,5
320,9
321,1
322,4
323,3
324,1
325,8
326,9
327,0
328,2
329,0
330,8
331,0
332,5
333,6
334,3
335,1
336,4
337,8
338,2
339,9
340,5
341,9
342,2
343,5
344,3
345,5
346,8
347,4
348,5
349,7
350,3
351,2
352,7
353,3
354,4
355,1
356,9
357,4
358,5
359,9
360,9
361,6
362,1
363,2
364,7
365,9
366,3
367,6
368,3
369,1
370,0
371,3
372,10
373,8
374,0
375,0
376,9
377,9
378,2
379,2
380,8
381,0
382,4
383,6
384,8
385,7
386,0
387,6
388,2
389,0
390,8
391,6
392,1
393,8
394,2
395,1
396,5
397,3
398,1
399,4
400,6
401,2
402,3
403,8
404,2
405,2
406,9
407,2
408,4
409,2
410,10
411,5
412,6
413,4
414,1
415,5
416,0
417,4
418,6
419,5
420,4
421,4
422,4
423,2
424,8
425,5
426,0
427,10
428,3
429,2
430,2
431,2
432,5
433,3
434,3
435,0
436,0
437,3
438,8
439,2
440,2
441,5
442,0
443,4
444,3
445,3
446,4
447,4
448,10
449,4
450,3
451,9
452,9
453,4
454,5
455,0
456,0
457,8
458,10
459,3
460,8
461,4
462,0
463,8
464,6
465,1
466,2
467,0
468,9
469,2
470,4
471,3
472,9
473,2
474,4
475,8
476,5
477,3
478,6
479,10
480,8
481,3
482,10
483,9
484,5
485,10
486,0
487,10
488,10
489,1
490,2
491,0
492,0
493,9
494,5
495,9
496,2
497,10
498,2
499,0
500,2
501,0
502,5
503,9
504,3
505,0
506,7
507,0
508,10
509,2
510,2
511,10
512,3
513,3
514,5
515,8
516,0
517,4
518,6
519,5
520,0
521,9
522,3
523,10
524,7
525,9
526,2
527,0
528,4
529,1
530,10
531,6
532,1
533,8
534,6
535,8
536,8
537,2
538,4
539,7
540,10
541,8
542,5
543,7
544,3
545,8
546,9
547,1
548,9
549,8
550,0
551,5
552,10
553,9
554,5
555,9
556,4
557,3
558,2
559,1
560,1
561,1
562,0
563,10
564,5
565,10
566,4
567,10
568,3
569,2
570,8
571,10
572,0
573,2
574,4
575,5
576,4
577,10
578,5
579,2
580,9
581,3
582,0
583,8
584,1
585,9
586,2
587,10
588,0
589,5
590,2
591,4
592,2
593,2
594,2
595,4
596,10
597,9
598,0
599,5
600,0
601,9
602,3
603,0
604,0
605,1
606,3
607,5
608,10
609,6
610,2
611,3
612,2
613,4
614,8
615,4
616,4
617,8
618,5
619,10
620,2
621,9
622,7
623,5
624,0
625,7
626,1
627,8
628,0
629,9
630,10
631,9
632,3
633,9
634,9
635,7
636,0
637,5
638,1
639,6
640,6
641,10
642,2
643,0
644,5
645,2
646,0
647,2
648,0
649,3
650,4
651,2
652,9
653,9
654,4
655,8
656,2
657,1
658,2
659,2
660,2
661,1
662,3
663,3
664,9
665,0
666,4
667,5
668,5
669,10
670,5
671,5
672,10
673,2
674,10
675,2
676,1
677,1
678,3
679,1
680,5
681,2
682,0
683,3
684,2
685,1
686,6
687,3
688,2
689,4
690,0
691,3
692,8
693,0
694,5
695,5
696,8
